tile_yellowedge:	.word 16, 16
.byte
171 181 181 181 181 174 182 182 182 182 182 182 182 182 182 182 
171 181 181 181 181 181 174 182 182 182 182 182 182 182 182 182 
171 171 181 181 181 181 174 182 182 182 182 174 182 182 182 182 
171 171 181 181 181 174 182 182 182 182 182 182 182 182 182 182 
171 171 181 181 181 174 182 182 182 174 182 182 182 182 110 182 
171 171 181 181 181 181 174 182 182 182 182 182 182 182 182 182 
171 181 181 181 181 181 174 182 182 182 182 182 182 110 182 182 
171 181 181 181 181 174 182 182 182 182 182 182 182 182 182 182 
155 83  181 181 181 174 83  82  83  83  182 182 182 182 83  83  
155 83  82  181 83  82  83  83  83  92  92  83  83  83  83  83  
155 82  165 82  92  83  83  83  92  92  92  83  83  83  83  83  
155 155 83  165 83  83  83  83  83  83  83  83  83  92  92  92  
171 155 82  92  83  83  83  83  92  83  83  83  83  83  92  82  
171 155 155 82  83  83  83  83  92  92  83  83  83  83  83  82  
171 181 155 155 82  82  83  83  92  92  83  83  83  83  82  82  
171 181 181 181 155 155 82  82  83  82  82  82  82  83  155 155 
