TallGrassAnimated2:	.word 16, 16
.byte
199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 
199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 
199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 
199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 
199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 
199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 199 
199 199 199 199 180 199 199 199 199 199 199 199 199 199 199 199 
199 199 199 180 180 199 199 199 199 199 199 199 199 199 199 199 
199 199 180 180 199 199 199 199 199 199 199 199 199 199 199 199 
199 199 199 199 199 199 199 199 199 180 199 199 199 199 199 199 
199 199 170 180 98  18  18  18  18  180 180 18  18  98  199 199 
199 170 180 180 171 170 18  98  18  18  180 180 170 18  170 199 
199 180 180 171 170 98  98  98  98  18  98  98  98  170 18  170 
170 98  18  18  18  18  170 170 170 98  18  18  18  18  18  98  
170 170 98  98  98  98  18  170 98  18  98  98  98  98  98  98  
199 199 170 170 98  98  98  18  18  98  98  98  170 170 199 199 
